provider_id,provider_name,provider_type,state
PRV-0075,Provider 0075,hospital,OR
PRV-0076,Provider 0076,physician,NC
PRV-0077,Provider 0077,physician,NV
PRV-0078,Provider 0078,specialist,VA
PRV-0079,Provider 0079,specialist,KY
PRV-0080,Provider 0080,specialist,PA
PRV-0081,Provider 0081,specialist,NC
PRV-0082,Provider 0082,physician,MI
PRV-0083,Provider 0083,lab,CA
PRV-0084,Provider 0084,hospital,IL
PRV-0085,Provider 0085,hospital,AR
PRV-0086,Provider 0086,hospital,AZ
PRV-0087,Provider 0087,specialist,TX
PRV-0088,Provider 0088,physician,PA
PRV-0089,Provider 0089,hospital,TX
PRV-0090,Provider 0090,physician,CA
PRV-0091,Provider 0091,hospital,MS
PRV-0092,Provider 0092,specialist,GA
PRV-0093,Provider 0093,physician,NY
PRV-0094,Provider 0094,physician,WA
PRV-0095,Provider 0095,physician,CA
PRV-0096,Provider 0096,specialist,NY
PRV-0097,Provider 0097,physician,IN
PRV-0098,Provider 0098,hospital,AZ
PRV-0099,Provider 0099,hospital,RI
PRV-0100,Provider 0100,imaging,AZ
PRV-0101,Provider 0101,imaging,NC
PRV-0102,Provider 0102,specialist,CO
PRV-0103,Provider 0103,physician,IA
PRV-0104,Provider 0104,imaging,MO
PRV-0105,Provider 0105,specialist,WV
PRV-0106,Provider 0106,specialist,MN
PRV-0107,Provider 0107,physician,OK
PRV-0108,Provider 0108,physician,CA
PRV-0109,Provider 0109,hospital,MD
PRV-0110,Provider 0110,imaging,OH
PRV-0111,Provider 0111,physician,NJ
PRV-0112,Provider 0112,physician,TN
PRV-0113,Provider 0113,physician,NH
PRV-0114,Provider 0114,specialist,DE
PRV-0115,Provider 0115,hospital,NY
PRV-0116,Provider 0116,lab,MD
PRV-0117,Provider 0117,specialist,WI
PRV-0118,Provider 0118,specialist,PA
PRV-0119,Provider 0119,physician,TX
PRV-0120,Provider 0120,specialist,CA
PRV-0121,Provider 0121,specialist,MN
PRV-0122,Provider 0122,specialist,NC
PRV-0123,Provider 0123,hospital,SD
PRV-0124,Provider 0124,physician,GA
PRV-0125,Provider 0125,hospital,MT
PRV-0126,Provider 0126,physician,OH
PRV-0127,Provider 0127,physician,MN
PRV-0128,Provider 0128,hospital,CA
PRV-0129,Provider 0129,hospital,NJ
PRV-0130,Provider 0130,specialist,SC
PRV-0131,Provider 0131,hospital,MS
PRV-0132,Provider 0132,imaging,AL
PRV-0133,Provider 0133,specialist,CA
PRV-0134,Provider 0134,physician,IL
PRV-0135,Provider 0135,specialist,CA
PRV-0136,Provider 0136,hospital,CA
PRV-0137,Provider 0137,imaging,MA
PRV-0138,Provider 0138,physician,MO
PRV-0139,Provider 0139,specialist,CO
PRV-0140,Provider 0140,hospital,OK
PRV-0141,Provider 0141,physician,MD
PRV-0142,Provider 0142,physician,SC
PRV-0143,Provider 0143,imaging,CA
PRV-0144,Provider 0144,specialist,FL
PRV-0145,Provider 0145,physician,AZ
PRV-0146,Provider 0146,physician,OR
PRV-0147,Provider 0147,physician,CA
PRV-0148,Provider 0148,physician,MI
PRV-0149,Provider 0149,physician,MA
PRV-0150,Provider 0150,hospital,CA
PRV-0151,Provider 0151,lab,IL
PRV-0152,Provider 0152,lab,UT
PRV-0153,Provider 0153,hospital,MA
PRV-0154,Provider 0154,specialist,FL
PRV-0155,Provider 0155,hospital,OR
PRV-0156,Provider 0156,specialist,PA
PRV-0157,Provider 0157,physician,OR
PRV-0158,Provider 0158,specialist,NY
PRV-0159,Provider 0159,specialist,VA
PRV-0160,Provider 0160,specialist,IL
PRV-0161,Provider 0161,hospital,FL
PRV-0162,Provider 0162,imaging,CT
PRV-0163,Provider 0163,physician,TX
PRV-0164,Provider 0164,hospital,CA
PRV-0165,Provider 0165,specialist,PA
PRV-0166,Provider 0166,physician,MO
PRV-0167,Provider 0167,lab,SC
PRV-0168,Provider 0168,lab,WY
PRV-0169,Provider 0169,physician,NY
PRV-0170,Provider 0170,imaging,OH
PRV-0171,Provider 0171,physician,TX
PRV-0172,Provider 0172,physician,VA
PRV-0173,Provider 0173,physician,WY
PRV-0174,Provider 0174,imaging,IN
PRV-0175,Provider 0175,hospital,WA
PRV-0176,Provider 0176,hospital,IL
PRV-0177,Provider 0177,physician,NV
PRV-0178,Provider 0178,imaging,NC
PRV-0179,Provider 0179,lab,TX
PRV-0180,Provider 0180,specialist,PA
PRV-0181,Provider 0181,lab,CA
PRV-0182,Provider 0182,lab,TX
PRV-0183,Provider 0183,physician,CA
PRV-0184,Provider 0184,physician,GA
PRV-0185,Provider 0185,specialist,AZ
PRV-0186,Provider 0186,specialist,PA
PRV-0187,Provider 0187,physician,OH
PRV-0188,Provider 0188,hospital,ID
PRV-0189,Provider 0189,specialist,WI
PRV-0190,Provider 0190,physician,NJ
PRV-0191,Provider 0191,imaging,NY
PRV-0192,Provider 0192,physician,UT
PRV-0193,Provider 0193,hospital,FL
PRV-0194,Provider 0194,lab,NY
PRV-0195,Provider 0195,hospital,NV
PRV-0196,Provider 0196,hospital,MI
PRV-0197,Provider 0197,specialist,WI
PRV-0198,Provider 0198,lab,VA
PRV-0199,Provider 0199,hospital,TN
PRV-0200,Provider 0200,physician,NY
PRV-0201,Provider 0201,specialist,FL
PRV-0202,Provider 0202,imaging,NY
PRV-0203,Provider 0203,physician,TX
PRV-0204,Provider 0204,hospital,OK
PRV-0205,Provider 0205,hospital,NY
PRV-0206,Provider 0206,physician,NJ
PRV-0207,Provider 0207,hospital,MN
PRV-0208,Provider 0208,specialist,MN
PRV-0209,Provider 0209,hospital,OH
PRV-0210,Provider 0210,physician,GA
PRV-0211,Provider 0211,specialist,VT
PRV-0212,Provider 0212,specialist,MA
PRV-0213,Provider 0213,hospital,AL
PRV-0214,Provider 0214,lab,IA
PRV-0215,Provider 0215,specialist,MN
PRV-0216,Provider 0216,specialist,TX
PRV-0217,Provider 0217,hospital,NJ
PRV-0218,Provider 0218,hospital,CA
PRV-0219,Provider 0219,imaging,TN
PRV-0220,Provider 0220,physician,ID
PRV-0221,Provider 0221,physician,MI
PRV-0222,Provider 0222,physician,OH
PRV-0223,Provider 0223,specialist,CA
PRV-0224,Provider 0224,imaging,ID
PRV-0225,Provider 0225,physician,CA
PRV-0226,Provider 0226,imaging,CA
PRV-0227,Provider 0227,hospital,FL
PRV-0228,Provider 0228,specialist,CA
PRV-0229,Provider 0229,specialist,GA
PRV-0230,Provider 0230,hospital,MI
PRV-0231,Provider 0231,hospital,NY
PRV-0232,Provider 0232,physician,CA
PRV-0233,Provider 0233,imaging,CA
PRV-0234,Provider 0234,specialist,IL
PRV-0235,Provider 0235,imaging,CA
PRV-0236,Provider 0236,lab,IN
PRV-0237,Provider 0237,physician,TX
PRV-0238,Provider 0238,specialist,NY
PRV-0239,Provider 0239,hospital,IL
PRV-0240,Provider 0240,hospital,OH
PRV-0241,Provider 0241,lab,CA
PRV-0242,Provider 0242,specialist,CA
PRV-0243,Provider 0243,physician,OR
PRV-0244,Provider 0244,physician,CA
PRV-0245,Provider 0245,specialist,NC
PRV-0246,Provider 0246,lab,NC
PRV-0247,Provider 0247,specialist,PA
PRV-0248,Provider 0248,physician,OH
PRV-0249,Provider 0249,physician,MN
PRV-0250,Provider 0250,physician,KY
PRV-0251,Provider 0251,specialist,FL
PRV-0252,Provider 0252,lab,NY
PRV-0253,Provider 0253,physician,FL
PRV-0254,Provider 0254,physician,NC
PRV-0255,Provider 0255,physician,IN
PRV-0256,Provider 0256,specialist,FL
PRV-0257,Provider 0257,lab,NY
PRV-0258,Provider 0258,hospital,MS
PRV-0259,Provider 0259,hospital,CA
PRV-0260,Provider 0260,specialist,GA
PRV-0261,Provider 0261,hospital,MO
PRV-0262,Provider 0262,lab,TX
PRV-0263,Provider 0263,physician,CA
PRV-0264,Provider 0264,hospital,TX
PRV-0265,Provider 0265,imaging,AR
PRV-0266,Provider 0266,hospital,CA
PRV-0267,Provider 0267,physician,TX
PRV-0268,Provider 0268,hospital,CA
PRV-0269,Provider 0269,hospital,CA
PRV-0270,Provider 0270,hospital,AZ
PRV-0271,Provider 0271,hospital,FL
PRV-0272,Provider 0272,hospital,VA
PRV-0273,Provider 0273,hospital,VA
PRV-0274,Provider 0274,specialist,KY
PRV-0275,Provider 0275,specialist,CA
PRV-0276,Provider 0276,physician,OR
PRV-0277,Provider 0277,physician,WA
PRV-0278,Provider 0278,physician,TX
PRV-0279,Provider 0279,lab,CO
PRV-0280,Provider 0280,lab,OR
PRV-0281,Provider 0281,hospital,FL
PRV-0282,Provider 0282,hospital,AR
PRV-0283,Provider 0283,physician,GA
PRV-0284,Provider 0284,physician,WA
PRV-0285,Provider 0285,specialist,DE
PRV-0286,Provider 0286,physician,PA
PRV-0287,Provider 0287,hospital,AL
PRV-0288,Provider 0288,physician,NY
PRV-0289,Provider 0289,physician,SC
PRV-0290,Provider 0290,hospital,WA
PRV-0291,Provider 0291,lab,FL
PRV-0292,Provider 0292,hospital,OH
PRV-0293,Provider 0293,imaging,NY
PRV-0294,Provider 0294,hospital,CA
PRV-0295,Provider 0295,lab,CA
PRV-0296,Provider 0296,imaging,PA
PRV-0297,Provider 0297,imaging,CA
PRV-0298,Provider 0298,lab,TX
PRV-0299,Provider 0299,specialist,MD
PRV-0300,Provider 0300,specialist,MO
PRV-0301,Provider 0301,specialist,MD
PRV-0302,Provider 0302,hospital,NY
PRV-0303,Provider 0303,physician,UT
PRV-0304,Provider 0304,physician,VA
PRV-0305,Provider 0305,lab,TX
PRV-0306,Provider 0306,physician,TX
PRV-0307,Provider 0307,physician,IN
PRV-0308,Provider 0308,specialist,TX
PRV-0309,Provider 0309,physician,NC
PRV-0310,Provider 0310,hospital,AK
PRV-0311,Provider 0311,physician,CA
PRV-0312,Provider 0312,physician,CA
PRV-0313,Provider 0313,physician,AK
PRV-0314,Provider 0314,physician,VA
PRV-0315,Provider 0315,physician,TX
PRV-0316,Provider 0316,physician,IA
PRV-0317,Provider 0317,physician,CT
PRV-0318,Provider 0318,specialist,MI
PRV-0319,Provider 0319,physician,AZ
PRV-0320,Provider 0320,imaging,FL
PRV-0321,Provider 0321,imaging,CA
PRV-0322,Provider 0322,physician,VA
PRV-0323,Provider 0323,physician,NY
PRV-0324,Provider 0324,physician,MA
PRV-0325,Provider 0325,lab,LA
PRV-0326,Provider 0326,specialist,CA
PRV-0327,Provider 0327,lab,WA
PRV-0328,Provider 0328,physician,FL
PRV-0329,Provider 0329,specialist,OK
PRV-0330,Provider 0330,physician,FL
PRV-0331,Provider 0331,specialist,WA
PRV-0332,Provider 0332,physician,NJ
PRV-0333,Provider 0333,specialist,IL
PRV-0334,Provider 0334,lab,MA
PRV-0335,Provider 0335,hospital,MD
PRV-0336,Provider 0336,specialist,NJ
PRV-0337,Provider 0337,hospital,CO
PRV-0338,Provider 0338,specialist,DE
PRV-0339,Provider 0339,hospital,OH
PRV-0340,Provider 0340,imaging,MI
PRV-0341,Provider 0341,hospital,CA
PRV-0342,Provider 0342,imaging,SC
PRV-0343,Provider 0343,lab,MI
PRV-0344,Provider 0344,specialist,OH
PRV-0345,Provider 0345,specialist,CA
PRV-0346,Provider 0346,specialist,UT
PRV-0347,Provider 0347,imaging,IL
PRV-0348,Provider 0348,physician,MA
PRV-0349,Provider 0349,specialist,TX
PRV-0350,Provider 0350,hospital,WV
PRV-0351,Provider 0351,specialist,TX
PRV-0352,Provider 0352,hospital,TX
PRV-0353,Provider 0353,specialist,OR
PRV-0354,Provider 0354,specialist,NV
PRV-0355,Provider 0355,physician,FL
PRV-0356,Provider 0356,physician,GA
PRV-0357,Provider 0357,specialist,MD
PRV-0358,Provider 0358,specialist,CT
PRV-0359,Provider 0359,physician,IL
PRV-0360,Provider 0360,specialist,MI
PRV-0361,Provider 0361,imaging,WI
PRV-0362,Provider 0362,hospital,MD
PRV-0363,Provider 0363,hospital,MN
PRV-0364,Provider 0364,hospital,VA
PRV-0365,Provider 0365,specialist,CA
PRV-0366,Provider 0366,physician,IA
PRV-0367,Provider 0367,specialist,OK
PRV-0368,Provider 0368,specialist,SC
PRV-0369,Provider 0369,physician,CA
PRV-0370,Provider 0370,lab,TX
PRV-0371,Provider 0371,specialist,WI
PRV-0372,Provider 0372,physician,CA
PRV-0373,Provider 0373,physician,RI
PRV-0374,Provider 0374,physician,IL
PRV-0375,Provider 0375,hospital,MO
PRV-0376,Provider 0376,hospital,CT
PRV-0377,Provider 0377,imaging,IL
PRV-0378,Provider 0378,physician,NY
PRV-0379,Provider 0379,physician,WA
PRV-0380,Provider 0380,specialist,VA
PRV-0381,Provider 0381,specialist,OH
PRV-0382,Provider 0382,imaging,WA
PRV-0383,Provider 0383,specialist,KS
PRV-0384,Provider 0384,physician,GA
PRV-0385,Provider 0385,physician,TX
PRV-0386,Provider 0386,imaging,IL
PRV-0387,Provider 0387,specialist,IL
PRV-0388,Provider 0388,imaging,TX
PRV-0389,Provider 0389,hospital,TX
PRV-0390,Provider 0390,lab,IN
PRV-0391,Provider 0391,specialist,PA
PRV-0392,Provider 0392,hospital,ID
PRV-0393,Provider 0393,specialist,FL
PRV-0394,Provider 0394,specialist,CA
PRV-0395,Provider 0395,hospital,WI
PRV-0396,Provider 0396,physician,CT
PRV-0397,Provider 0397,lab,NY
PRV-0398,Provider 0398,physician,TX
PRV-0399,Provider 0399,physician,TX
PRV-0400,Provider 0400,physician,MI
PRV-0401,Provider 0401,physician,GA
PRV-0402,Provider 0402,imaging,FL
PRV-0403,Provider 0403,specialist,CA
PRV-0404,Provider 0404,hospital,NC
PRV-0405,Provider 0405,imaging,ID
PRV-0406,Provider 0406,lab,TN
PRV-0407,Provider 0407,physician,NC
PRV-0408,Provider 0408,lab,CA
PRV-0409,Provider 0409,hospital,FL
PRV-0410,Provider 0410,imaging,NY
PRV-0411,Provider 0411,specialist,CO
PRV-0412,Provider 0412,specialist,CT
PRV-0413,Provider 0413,hospital,IA
PRV-0414,Provider 0414,lab,DE
PRV-0415,Provider 0415,hospital,DE
PRV-0416,Provider 0416,physician,NE
PRV-0417,Provider 0417,hospital,CA
PRV-0418,Provider 0418,specialist,TX
PRV-0419,Provider 0419,hospital,NY
PRV-0420,Provider 0420,imaging,NJ
PRV-0421,Provider 0421,specialist,CA
PRV-0422,Provider 0422,hospital,KY
PRV-0423,Provider 0423,hospital,WA
PRV-0424,Provider 0424,hospital,NJ
PRV-0425,Provider 0425,specialist,TX
PRV-0426,Provider 0426,lab,FL
PRV-0427,Provider 0427,physician,TX
PRV-0428,Provider 0428,lab,KY
PRV-0429,Provider 0429,hospital,VA
PRV-0430,Provider 0430,lab,MD
PRV-0431,Provider 0431,imaging,NY
PRV-0432,Provider 0432,specialist,PA
PRV-0433,Provider 0433,specialist,IL
PRV-0434,Provider 0434,lab,CO
PRV-0435,Provider 0435,hospital,CO
PRV-0436,Provider 0436,physician,TX
PRV-0437,Provider 0437,hospital,KS
PRV-0438,Provider 0438,physician,TX
PRV-0439,Provider 0439,specialist,UT
PRV-0440,Provider 0440,specialist,CA
PRV-0441,Provider 0441,lab,FL
PRV-0442,Provider 0442,hospital,KY
PRV-0443,Provider 0443,specialist,TX
PRV-0444,Provider 0444,hospital,OH
PRV-0445,Provider 0445,physician,GA
PRV-0446,Provider 0446,specialist,FL
PRV-0447,Provider 0447,imaging,MO
PRV-0448,Provider 0448,specialist,KY
PRV-0449,Provider 0449,hospital,OK
PRV-0450,Provider 0450,specialist,PA
PRV-0451,Provider 0451,hospital,MI
PRV-0452,Provider 0452,lab,FL
PRV-0453,Provider 0453,specialist,FL
PRV-0454,Provider 0454,hospital,TX
PRV-0455,Provider 0455,hospital,KS
PRV-0456,Provider 0456,hospital,CT
PRV-0457,Provider 0457,imaging,MN
PRV-0458,Provider 0458,physician,MI
PRV-0459,Provider 0459,specialist,NC
PRV-0460,Provider 0460,specialist,MI
PRV-0461,Provider 0461,specialist,MI
PRV-0462,Provider 0462,hospital,OH
PRV-0463,Provider 0463,imaging,TX
PRV-0464,Provider 0464,physician,TX
PRV-0465,Provider 0465,specialist,NE
PRV-0466,Provider 0466,specialist,NC
PRV-0467,Provider 0467,specialist,NE
PRV-0468,Provider 0468,imaging,TX
PRV-0469,Provider 0469,hospital,NJ
PRV-0470,Provider 0470,physician,TX
PRV-0471,Provider 0471,physician,FL
PRV-0472,Provider 0472,physician,CA
PRV-0473,Provider 0473,hospital,TX
PRV-0474,Provider 0474,hospital,AR
PRV-0475,Provider 0475,physician,NY
PRV-0476,Provider 0476,physician,WA
PRV-0477,Provider 0477,physician,GA
PRV-0478,Provider 0478,specialist,IL
PRV-0479,Provider 0479,specialist,MI
PRV-0480,Provider 0480,physician,TX
PRV-0481,Provider 0481,physician,ND
PRV-0482,Provider 0482,physician,AL
PRV-0483,Provider 0483,specialist,WI
PRV-0484,Provider 0484,physician,GA
PRV-0485,Provider 0485,hospital,TX
PRV-0486,Provider 0486,physician,AR
PRV-0487,Provider 0487,physician,PA
PRV-0488,Provider 0488,physician,CA
PRV-0489,Provider 0489,specialist,PA
PRV-0490,Provider 0490,specialist,MN
PRV-0491,Provider 0491,specialist,AZ
PRV-0492,Provider 0492,specialist,WI
PRV-0493,Provider 0493,specialist,MN
PRV-0494,Provider 0494,physician,FL
PRV-0495,Provider 0495,specialist,AR
PRV-0496,Provider 0496,physician,OH
PRV-0497,Provider 0497,physician,AZ
PRV-0498,Provider 0498,specialist,CA
PRV-0499,Provider 0499,physician,AK
PRV-0500,Provider 0500,physician,NY
